"Id","Conferencias","Numero de anos","Total Papers","Total Autores","Média Autores/Ano","Desv Pad","Ano Início","Ano Fim","Anos sem artigos",,,,,,,,,,,
2444,"DAC",48,5694,16176,"337,00","230,03",1964,2011,,,,,,,,,,,,
5317,"STOC",44,2685,5978,"135,86","66,33",1969,2012,,,,,,,,,,,,
1890,"POPL",39,1239,2689,"67,23","29,83",1973,2012,1974,,,,,,,,,,,
408,"ISCA",38,1422,4262,"109,28","42,99",1973,2011,1975,,,,,,,,,,,
3061,"SIGMOD Conference",38,2671,8508,"223,89","168,95",1975,2012,,,,,,,,,,,,
4789,"FOCS",37,2377,5269,"142,41","51,03",1975,2011,,,,,,,,,,,,
3620,"SIGIR",36,2737,7282,"177,61","217,34",1971,2011,1972,1974,1975,1976,1977,,,,,,,
1735,"MFCS",35,2027,3761,"96,44","45,79",1973,2011,1982,1983,1985,1987,,,,,,,,
3688,"VLDB",33,2442,6865,"208,03","150,61",1975,2007,,,,,,,,,,,,
1274,"ICALP",33,2029,4092,"113,67","66,74",1972,2007,1973,1975,2006,,,,,,,,,
4512,"Int. CMG Conference",32,3129,4246,"128,67","58,26",1976,2008,1993,,,,,,,,,,,
603,"ICSE",32,2655,6702,"186,17","154,71",1976,2011,1977,1980,1983,1985,,,,,,,,
2619,"DAGM-Symposium",31,1923,4767,"140,21","62,56",1978,2011,1982,1983,1994,,,,,,,,,
4111,"CRYPTO",31,1184,2606,"84,06","17,98",1981,2011,,,,,,,,,,,,
5126,"PODS",31,991,2306,"74,39","12,25",1982,2012,,,,,,,,,,,,
3966,"PODC",30,1403,3463,"115,43","65,68",1982,2011,,,,,,,,,,,,
323,"ITC",30,3990,10378,"334,77","124,73",1981,2011,1987,,,,,,,,,,,
4585,"ICDCS",30,2216,5985,"193,06","75,50",1981,2011,1983,,,,,,,,,,,
3987,"EUROCRYPT",30,1140,2435,"78,55","25,69",1982,2012,1983,,,,,,,,,,,
