idbooktitle,booktitle,number_anos
2444,DAC,48
5317,STOC,44
1890,POPL,39
408,ISCA,38
3061,"SIGMOD Conference",38
4789,FOCS,37
3620,SIGIR,36
1735,MFCS,35
1274,ICALP,33
3688,VLDB,33
603,ICSE,32
4512,"Int. CMG Conference",32
5126,PODS,31
2619,DAGM-Symposium,31
4111,CRYPTO,31
1116,ACL,30
323,ITC,30
3966,PODC,30
4585,ICDCS,30
3987,EUROCRYPT,30
5334,SIGMETRICS,29
330,WG,29
3473,ER,29
1881,STACS,29
5260,FSTTCS,28
1703,ICDE,27
1784,"Symposium on Computational Geometry",27
4289,UAI,27
4981,SIGCSE,27
1045,BNCOD,26
4481,LICS,26
3264,INFOCOM,26
2869,SIGCOMM,26
1666,SRDS,26
5121,CSL,25
4767,DBSec,25
153,"IEEE Symposium on Security and Privacy",25
3781,OOPSLA,25
1670,SIGDOC,25
1910,MICRO,25
326,PLDI,25
5479,NIPS,25
4191,"GI Jahrestagung",25
5165,ISSAC,24
4779,ECOOP,24
4670,SIGUCCS,24
3412,SPAA,23
4260,"Grundlagen von Datenbanken",23
3618,"IEEE Real-Time Systems Symposium",23
2268,CBMS,23
3017,SSDBM,23
467,SODA,23
3396,BDA,22
3129,RTA,22
5352,ICIS,22
4943,"Winter Simulation Conference",22
82,CONCUR,22
2465,ICPP,22
4286,CAV,22
5540,ICCAD,22
4898,CHI,22
4784,COLT,22
1431,CAiSE,22
2584,ISMVL,21
713,IJCAI,21
2286,Ada-Europe,21
100,FORTE,21
1366,SOSP,21
1805,ICLP,21
5367,ESOP,21
4801,CASCON,20
68,"Annual Simulation Symposium",20
4776,LOPSTR,20
768,ARCS,20
5585,ICCD,20
4783,LCPC,20
185,HPDC,20
3598,"VLSI Design",20
3630,CC,20
5446,CIKM,20
4633,DEXA,20
3709,CPM,20
5644,ICCS,19
4292,"IEEE Symposium on Computer Arithmetic",19
5016,ISAAC,19
203,SIGGRAPH,19
679,CADE,19
3968,ICML,19
3246,CSFW,19
405,ESA,19
2314,TREC,19
474,SC,19
2463,MASCOTS,19
4236,ALT,19
4227,SEKE,19
5369,AAAI,19
4305,ECIS,19
2881,ESANN,19
3677,ICSM,19
363,FPL,19
1847,PEPM,18
2984,WCRE,18
971,TACAS,18
2062,"Graph Drawing",18
5411,"ACM Conference on Computer and Communications Security",18
2796,FCT,18
3200,SIROCCO,18
1857,CCCG,18
4720,SAS,18
5225,HPCA,18
2461,LCN,18
1650,"Description Logics",18
1554,FSE,18
3455,Hypertext,18
1730,SEBD,18
3222,ICS,18
5207,"ACM Multimedia",18
3158,FPGA,18
1897,SAC,18
1470,MOBICOM,17
5404,IUI,17
1742,ICNP,17
265,APL,17
3627,TPHOLs,17
1532,ASPLOS,17
2996,VTS,17
5576,CP,17
1882,"ACM Southeast Regional Conference",17
3847,ASIACRYPT,17
1969,WETICE,17
5147,KI,17
1284,LISA,17
5675,KDD,17
415,APSEC,17
4398,COCOON,17
703,TIME,17
5655,ADBIS,17
4378,AAECC,16
4945,RECOMB,16
1466,ISMIS,16
4895,CRIWG,16
2307,ACSAC,16
