conference,num_publicacoes,num_autores
INFOCOM,5842,17085
DAC,5694,16176
NIPS,4458,11587
ITC,3990,10378
"Int. CMG Conference",3129,4246
ICDE,2963,8906
SIGCSE,2801,7135
SIGIR,2737,7282
STOC,2685,5978
"SIGMOD Conference",2671,8508
ICSE,2655,6702
VLDB,2442,6865
FOCS,2377,5269
ACL,2345,5234
ICDCS,2216,5985
ICALP,2029,4092
MFCS,2027,3761
DAGM-Symposium,1923,4767
"GI Jahrestagung",1858,3613
UAI,1708,3763
STACS,1510,3213
ISCA,1422,4262
PODC,1403,3463
"Symposium on Computational Geometry",1366,3476
POPL,1239,2689
ER,1187,2867
CRYPTO,1184,2606
LICS,1145,2225
EUROCRYPT,1140,2435
SIGMETRICS,1086,2929
PODS,991,2306
FSTTCS,983,2148
OOPSLA,925,2680
SIGCOMM,879,2805
SIGDOC,878,1656
CSL,859,1505
MICRO,857,2723
WG,818,1889
PLDI,810,2335
SRDS,768,2097
"IEEE Symposium on Security and Privacy",624,1631
DBSec,597,1443
BNCOD,479,1215
