conference,num_autores
ICRA,35799
INTERSPEECH,28356
ISCAS,24588
ICIP,20670
GLOBECOM,20330
IROS,20330
HICSS,19480
IGARSS,17468
ICC,17262
INFOCOM,17085
ICASSP,16564
DAC,16176
"Winter Simulation Conference",13738
DATE,13446
ICME,13214
IPDPS,12933
ISBI,12452
"VTC Spring",12396
SAC,12374
NIPS,11587
AMCIS,11584
"CHI Extended Abstracts",11131
IJCAI,11030
PIMRC,10583
IJCNN,10540
CHI,10454
ITC,10378
CDC,9949
"VTC Fall",9880
AAAI,9751
CVPR,9497
"ACM Multimedia",9380
ICPR,9164
SMC,8956
ICDE,8906
WCNC,8883
EUROSPEECH,8560
"SIGMOD Conference",8508
PDPTA,8399
CIKM,8210
GECCO,8172
"IEEE Congress on Evolutionary Computation",8131
ICCAD,8055
ICSLP,7642
ASP-DAC,7436
ICALT,7348
ECIS,7334
SIGIR,7282
SIGCSE,7135
ICCV,7005
FUZZ-IEEE,6975
VLDB,6865
ISSCC,6712
ICSE,6702
ICDAR,6555
AAMAS,6518
"VLSI Design",6510
ISCC,6427
FPL,6418
SODA,6303
ICIS,6274
CBMS,6176
ICARCV,6135
SC,6106
Euro-Par,5986
ICDCS,5985
STOC,5978
ISIT,5924
ICCD,5795
WWW,5771
"ICIP (3)",5746
LCN,5661
"Bildverarbeitung für die Medizin",5528
"ICIP (1)",5465
"ICIP (2)",5437
ECAI,5401
ICPP,5381
FOCS,5269
ACL,5234
KDD,5228
SEKE,5208
"MICCAI (1)",5145
ICML,5073
TREC,5020
ISQED,4994
ICNC,4883
ICDM,4870
CIT,4869
CARS,4824
WebNet,4815
"MICCAI (2)",4776
DAGM-Symposium,4767
DEXA,4618
COLING,4612
FSKD,4441
IIH-MSP,4398
LREC,4342
"FLAIRS Conference",4326
ICPADS,4305
ISCA,4262
CCGRID,4260
PACIS,4257
"Int. CMG Conference",4246
AINA,4220
CSCWD,4168
COMPSAC,4156
"ISCAS (4)",4102
ICALP,4092
IEA/AIE,4083
IWCMC,4070
"Web Intelligence",4055
BMEI,4034
IV,3975
JCDL,3961
ITNG,3953
"ISNN (2)",3925
IC-AI,3923
ITiCSE,3871
"DEXA Workshops",3869
"ISCAS (1)",3865
ICCCN,3854
CDC-ECE,3845
ISLPED,3819
ICTAI,3786
ESANN,3779
ICWS,3763
UAI,3763
MFCS,3761
EMEIT,3716
"ISCAS (5)",3701
"IEEE Visualization",3662
MVA,3662
CCECE,3661
ETFA,3639
"GI Jahrestagung",3613
MICCAI,3612
BIBE,3523
"ISCAS (3)",3511
"Symposium on Computational Geometry",3476
PODC,3463
"AINA Workshops",3439
ESA,3412
"Asian Test Symposium",3408
VTS,3373
"ICDCS Workshops",3367
ICMLC,3356
"ISCAS (2)",3346
PDP,3342
BMVC,3321
KES,3292
"ISNN (1)",3283
ICSM,3250
ISAAC,3243
GrC,3231
DSD,3224
STACS,3213
ICOIN,3206
IUI,3195
"ACM Great Lakes Symposium on VLSI",3185
HPDC,3168
RoboCup,3140
AICCSA,3133
ICEE,3133
SIGGRAPH,3125
IDEAL,3112
VR,3093
APSEC,3068
IAS,3065
EGC,3036
"International Conference on Computational Science",3031
MASCOTS,3025
ICEC,2979
"KES (2)",2974
"PerCom Workshops",2962
MASS,2961
Humanoids,2950
ISMIR,2937
CSCW,2936
CIS,2934
SIGMETRICS,2929
DSN,2925
DG.O,2923
"ACM Southeast Regional Conference",2923
CAV,2921
CLUSTER,2916
ASE,2909
ROBIO,2883
"ICPP Workshops",2880
ICECS,2880
"HPCN Europe",2869
PAKDD,2868
ER,2867
PDCAT,2855
SIGUCCS,2845
"HCI (2)",2829
WETICE,2815
"Integrated Network Management",2807
SIGCOMM,2805
NetWORKing,2801
PPSC,2790
CISIS,2763
"ICDM Workshops",2759
"ICCSA (2)",2744
IRI,2739
ISPA,2735
"Mobile HCI",2732
ECDL,2728
MICRO,2723
CP,2723
SenSys,2714
"ICIC (1)",2705
POPL,2689
FPGA,2681
OOPSLA,2680
WOWMOM,2657
HIS,2656
DASFAA,2652
NOMS,2647
ICS,2642
HPCC,2630
ICIAP,2628
CCCG,2625
SPAA,2623
"ICIC (2)",2620
ARES,2615
"ICCSA (1)",2611
CRYPTO,2606
"IGARSS (3)",2594
"Computers and Their Applications",2582
CIARP,2579
IAT,2579
ISMIS,2577
"KES (3)",2558
"Software Engineering Research and Practice",2557
ISMVL,2554
CAIP,2553
ACIS-ICIS,2545
"GI Jahrestagung (2)",2538
CLEF,2528
DFT,2525
FCCM,2509
SSDBM,2507
TSD,2504
ISVLSI,2486
"HCI (1)",2483
AAAI/IAAI,2481
ICCHP,2477
COCOON,2459
"IGARSS (4)",2445
iiWAS,2445
"GI Jahrestagung (1)",2439
EUROCRYPT,2435
"IGARSS (2)",2431
"Advances in Computer Entertainment Technology",2429
CISS,2422
EDBT,2420
"IEEE SCC",2419
HRI,2416
"International Conference on Internet Computing",2400
GCC,2395
"Pacific Symposium on Biocomputing",2394
APWeb,2385
"KES (1)",2385
"Intelligent Tutoring Systems",2360
PACT,2355
"Graph Drawing",2351
ICLP,2337
PLDI,2335
"ICPR (3)",2329
PVM/MPI,2329
ICCE,2326
IPSN,2326
"OOPSLA Companion",2322
ICNSC,2313
PODS,2306
ISSAC,2302
"ICEIS (1)",2300
ECBS,2293
"IPDPS Workshops",2279
IWANN,2277
"IFIP Congress",2277
BIOCOMP,2264
ICANN,2264
EUROMICRO,2259
IICAI,2245
"ICEIS (2)",2240
APSCC,2239
DCC,2238
"ICPR (2)",2235
"ACM Conference on Computer and Communications Security",2231
ICMLA,2230
PPSN,2228
PRICAI,2225
LICS,2225
"ACM Conference on Computer Science",2223
"International Conference on Computational Science (1)",2218
CAiSE,2208
RECOMB,2205
"OTM Workshops",2200
"DEXA Workshop",2192
ICUMT,2178
MICAI,2171
ICMI,2162
ISORC,2160
SIBGRAPI,2155
SAINT,2153
FSTTCS,2148
ISM,2138
RTCSA,2138
HPCA,2132
IPPS,2130
FG,2128
ISI,2109
SDM,2105
AIED,2105
PATMOS,2103
"AFIPS National Computer Conference",2101
SRDS,2097
WAIM,2089
ECIR,2081
CASCON,2068
SEBD,2064
Geoinformatics,2063
MIE,2054
CICC,2053
"International Conference on Computational Science (2)",2047
HiPC,2040
RE,2038
"International Conference on Computational Science (3)",2033
EUROCAST,2029
Hypertext,2026
IPMI,2018
ISMAR,2011
DICTA,2009
IPCV,2009
ISCIS,2005
"ICONIP (1)",2003
ASAP,2001
ISPAN,1997
EUC,1986
"Web Intelligence/IAT Workshops",1973
"IWANN (2)",1967
ACSAC,1966
COLT,1960
"Security and Management",1955
"ICONIP (2)",1953
"CVPR (1)",1947
"CVPR (2)",1944
EMNLP,1943
"ICPR (1)",1942
"ICANN (2)",1942
LCPC,1940
"Data Compression Conference",1940
"ICDE Workshops",1934
VRST,1932
"ICCSA (3)",1929
"ICEIS (3)",1928
CIVR,1928
TACAS,1926
INTERACT,1911
NEMS,1910
ICNP,1907
"Australian Conference on Artificial Intelligence",1897
CW,1889
WISE,1889
WG,1889
ISER,1886
ICADL,1880
JISBD,1878
CSMR,1876
ICSC,1873
SSPR/SPR,1867
"IEEE ICCI",1864
Edutainment,1856
"IEEE Real-Time Systems Symposium",1851
ISDA,1838
ICWET,1838
EvoWorkshops,1833
MMM,1829
eScience,1825
"GECCO (Companion)",1823
ICWE,1820
ICUIMC,1812
"ECOOP Workshops",1810
COMPCON,1810
CADE,1804
CONCUR,1803
ICECCS,1795
AIME,1792
IVA,1788
"German Conference on Bioinformatics",1784
CSCL,1783
WADS,1779
PARA,1775
EACL,1775
FTCS,1768
"ICANN (1)",1766
ICYCS,1765
ASPLOS,1759
WCRE,1754
ACIVS,1748
Ubicomp,1746
GIS,1746
IKE,1740
SNPD,1740
"FSKD (2)",1737
BIBM,1733
VCIP,1733
JCIS,1728
GRID,1725
ISWC,1725
NCM,1720
PKDD,1719
IMECS,1717
PPOPP,1716
IDEAS,1704
ICEIS,1695
WiMob,1692
PARCO,1686
PRDC,1684
ISADS,1676
"ICPR (4)",1675
"ISNN (3)",1674
MSN,1673
IOLTS,1673
"IWANN (1)",1672
UIST,1670
PerCom,1667
ICWN,1662
IPCCC,1660
FORTE,1657
SIGDOC,1656
"ISVC (2)",1651
AVSS,1650
VMV,1643
ICDIM,1642
KI,1638
HSCC,1637
CICLing,1636
"ISVC (1)",1635
"IEEE Symposium on Security and Privacy",1631
"FSKD (1)",1630
"VISAPP (1)",1626
"Description Logics",1625
MOBICOM,1617
CAINE,1617
RAM,1598
PCM,1593
SCIA,1590
SpringSim,1589
"Annual Simulation Symposium",1589
NaBIC,1587
CCA,1586
"ICEIS (4)",1577
ICONIP,1577
"Discovery Science",1577
RSKT,1574
CIMCA/IAWTIC,1572
SoCC,1570
MUE,1568
HLT-NAACL,1564
KR,1562
