conference,num_publicacoes,num_autores
ICRA,11242,35799
INTERSPEECH,9279,28356
ISCAS,7996,24588
HICSS,7414,19480
ICIP,6788,20670
GLOBECOM,6500,20330
INFOCOM,5842,17085
IROS,5772,20330
DAC,5694,16176
ICC,5640,17262
"Winter Simulation Conference",5635,13738
ICASSP,5476,16564
IJCAI,4964,11030
AMCIS,4891,11584
NIPS,4458,11587
SAC,4331,12374
IGARSS,4216,17468
IPDPS,4076,12933
AAAI,4007,9751
ITC,3990,10378
ICME,3990,13214
DATE,3905,13446
"VTC Spring",3763,12396
CDC,3623,9949
IJCNN,3563,10540
"CHI Extended Abstracts",3534,11131
PIMRC,3374,10583
EUROSPEECH,3197,8560
CVPR,3197,9497
"Int. CMG Conference",3129,4246
ICPR,3110,9164
CHI,3100,10454
PDPTA,3049,8399
GECCO,3033,8172
ECIS,3023,7334
ISBI,2987,12452
ICDE,2963,8906
"VTC Fall",2956,9880
SMC,2856,8956
WCNC,2825,8883
ICSLP,2812,7642
SIGCSE,2801,7135
"ACM Multimedia",2796,9380
SIGIR,2737,7282
"IEEE Congress on Evolutionary Computation",2704,8131
ICCAD,2691,8055
STOC,2685,5978
"SIGMOD Conference",2671,8508
ICSE,2655,6702
CIKM,2624,8210
ICCV,2522,7005
ICALT,2499,7348
SODA,2495,6303
VLDB,2442,6865
FUZZ-IEEE,2419,6975
ICIS,2389,6274
FOCS,2377,5269
ECAI,2348,5401
ACL,2345,5234
ISIT,2310,5924
AAMAS,2261,6518
ICDAR,2245,6555
"VLSI Design",2220,6510
ICDCS,2216,5985
COLING,2180,4612
ASP-DAC,2170,7436
ISCC,2155,6427
WebNet,2144,4815
"ICIP (3)",2071,5746
"ICIP (1)",2037,5465
ICALP,2029,4092
MFCS,2027,3761
"ICIP (2)",2020,5437
ICML,2016,5073
ICARCV,2003,6135
FPL,1995,6418
ICCD,1958,5795
Euro-Par,1942,5986
LCN,1938,5661
ICPP,1924,5381
DAGM-Symposium,1923,4767
SEKE,1873,5208
"GI Jahrestagung",1858,3613
PACIS,1741,4257
CBMS,1724,6176
DEXA,1715,4618
UAI,1708,3763
"FLAIRS Conference",1706,4326
KDD,1699,5228
WWW,1693,5771
SIGUCCS,1679,2845
SC,1669,6106
ITiCSE,1652,3871
ICDM,1597,4870
ICNC,1596,4883
ISQED,1556,4994
FSKD,1543,4441
CIT,1535,4869
COMPSAC,1527,4156
IEA/AIE,1522,4083
IC-AI,1520,3923
IV,1520,3975
STACS,1510,3213
ICTAI,1460,3786
IIH-MSP,1423,4398
ISCA,1422,4262
ICPADS,1416,4305
ESANN,1405,3779
PODC,1403,3463
"ACM Southeast Regional Conference",1398,2923
TREC,1394,5020
ICEE,1392,3133
ITNG,1391,3953
"IFIP Congress",1388,2277
"Web Intelligence",1366,4055
"Symposium on Computational Geometry",1366,3476
"ISCAS (4)",1363,4102
"DEXA Workshops",1358,3869
CDC-ECE,1354,3845
ICCCN,1336,3854
"ISCAS (1)",1318,3865
AINA,1310,4220
CCECE,1308,3661
IWCMC,1294,4070
ISAAC,1290,3243
"ISCAS (3)",1268,3511
LREC,1261,4342
"ISCAS (5)",1260,3701
CSCWD,1260,4168
ESA,1260,3412
"Bildverarbeitung für die Medizin",1259,5528
"ISNN (2)",1246,3925
MVA,1244,3662
EMEIT,1243,3716
POPL,1239,2689
BMVC,1232,3321
CCGRID,1230,4260
ICSM,1229,3250
"ACM Conference on Computer Science",1222,2223
JCDL,1200,3961
ER,1187,2867
GrC,1187,3231
ISLPED,1186,3819
"IEEE Visualization",1185,3662
CRYPTO,1184,2606
ICWS,1178,3763
ISSAC,1177,2302
KES,1175,3292
CP,1158,2723
LICS,1145,2225
EUROCRYPT,1140,2435
VTS,1133,3373
"ISCAS (2)",1129,3346
"ICDCS Workshops",1119,3367
ETFA,1118,3639
ICLP,1117,2337
APSEC,1116,3068
"AFIPS National Computer Conference",1111,2101
SIGGRAPH,1108,3125
MASCOTS,1106,3025
"ISNN (1)",1102,3283
PPSC,1099,2790
AICCSA,1098,3133
IDEAL,1094,3112
"MICCAI (1)",1093,5145
ISMIR,1089,2937
"GI Jahrestagung (2)",1089,2538
ISMIS,1087,2577
SIGMETRICS,1086,2929
"Asian Test Symposium",1083,3408
ICMLC,1081,3356
ISMVL,1080,2554
IUI,1070,3195
"HCI (2)",1067,2829
PDP,1064,3342
ICEC,1057,2979
ASE,1053,2909
"AINA Workshops",1052,3439
CAV,1051,2921
IAS,1040,3065
"GI Jahrestagung (1)",1036,2439
CIS,1033,2934
"MICCAI (2)",1032,4776
WETICE,1030,2815
EGC,1030,3036
CCCG,1028,2625
"ACM Great Lakes Symposium on VLSI",1026,3185
"International Conference on Computational Science",1022,3031
AAAI/IAAI,1020,2481
BMEI,1016,4034
"Computers and Their Applications",1011,2582
"HCI (1)",1009,2483
"Software Engineering Research and Practice",1009,2557
DSD,1007,3224
