journal;Total_Autores;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
CoRR;98124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;7;395;439;403;805;747;1079;1289;1468;2240;2192;3329;4457;7059;8857;11605;18570;23043;10116
"IEICE Transactions";41911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514;0;0;0;0;0;0;0;0;1157;5853;5393;4995;5836;5193;5276;5223;2471
"Nucleic Acids Research";28655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;62;65;76;148;107;126;161;176;313;163;312;338;479;0;504;408;252;216;240;233;343;398;607;660;710;743;851;1584;1642;1956;2060;2097;2090;2105;1979;2630;1794
Bioinformatics;26833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390;499;555;627;951;1601;2173;3036;2186;2533;2278;2958;2832;2852;1362
"Discrete Mathematics";20135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;216;241;297;273;250;265;251;268;312;411;573;571;575;599;519;724;729;687;719;694;727;1040;750;913;707;709;696;1439;1648;973;654;584
"BMC Bioinformatics";20010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;29;149;259;802;1661;2773;2643;3245;3180;3171;2096;0
"IEEE Transactions on Information Theory";19806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;247;2;3;0;251;237;249;274;260;205;227;224;349;318;358;423;425;472;493;480;510;482;607;622;581;624;609;712;738;933;1121;969;1171;1115;1260;1445;772
"IEEE Transactions on Signal Processing";19793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;751;753;780;926;790;776;743;849;78;899;728;697;714;775;761;870;1378;1463;1159;1586;1498;819
"Applied Mathematics and Computation";19397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;102;0;0;0;1023;2187;2367;2976;2461;1860;2343;2547;1306
"Expert Syst. Appl.";18932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;145;253;314;444;479;616;1388;3909;2957;5051;3263
"Theor. Comput. Sci.";18928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;89;63;55;71;105;136;148;184;212;243;201;167;183;210;229;428;418;394;507;461;502;544;499;490;615;780;822;1208;968;1015;1055;1029;1100;1221;813;1492;253
"European Journal of Operational Research";17908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;807;877;871;869;875;1069;1085;1584;2010;1742;1869;1938;1155;1036
"Commun. ACM";16650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;90;109;285;377;345;298;296;244;284;252;227;85;148;232;218;201;163;127;184;187;119;121;134;124;203;189;155;188;148;202;199;201;200;280;313;299;365;393;395;440;418;533;557;583;637;546;566;529;430;546;754;644;597;242
