#Coluna 1 - Periodo
#Coluna 2 - Diametro
#Coluna 3 - Caminho Minimo Medio
#Coluna 4 - Coeficiente de agrupamento
#Coluna 5 - Assortatividade
#Coluna 6 - Numero de Nodos
#Coluna 7 - Numero de Arestas
#Coluna 8 - Atributo: num_publicacao
1975-1976	1	1.0	0.356125356125	0.952101139601	117	193	67
1977-1978	2	1.17777777778	0.404021164021	0.95582050874	210	404	129
1979-1980	4	1.64492753623	0.45390050235	0.901157145765	165	430	97
1981-1982	1	1.0	0.362030905077	0.979886154909	151	273	92
1983-1984	4	2.1380952381	0.493132920719	0.824712404383	203	415	99
1985-1986	5	2.4	0.488127467569	0.720395498884	197	385	100
1987-1988	2	1.15555555556	0.444332210999	0.923618281949	198	388	95
1989-1990	3	1.75	0.494047619048	0.634112708307	212	420	111
1991-1992	6	2.82068965517	0.554918776875	0.515379247248	230	488	119
1993-1994	5	2.42105263158	0.628700947972	0.84141599194	288	629	134
1995-1996	9	4.09462025316	0.624697710316	0.529914665828	299	693	144
1997-1998	8	3.20194805195	0.701683456776	0.740191750474	348	936	148
1999-2000	8	3.5467571644	0.749562680605	0.786625279519	422	1239	173
2001-2002	9	4.37525229002	0.769434691652	0.949643589714	614	2278	222
2003-2004	12	5.31544715447	0.776371944603	0.803419982904	697	2307	273
2005-2006	14	6.38322655795	0.824577789127	0.540272145565	760	2358	278
2007-2008	5	2.68921775899	0.852150584013	0.639700057101	476	1460	161
